Party,Name,OfficialName,Type,Status,Seasonality,SiteName,Latitude,Longitude,MaxPopulation,Capacity,Remarks,DateEstablished,AccommodationCapacity,MedicalFacilities,OperatingPeriodFrom,OperatingPeriodTo,UrlLink
Argentina,Matienzo Antarctic Base,Base Antártica Matienzo,Station,Temporarily Closed,Seasonal,Matienzo Antarctic Base,-64.975833,-60.070833,12,12,Apertura 15 de marzo de 1961.,1961,Total de instalaciones: 6 construcciones,1 médico y 1 enfermero    ,December,March,
Argentina,Melchior Antarctic Base,Base Antártica Melchio,Station,Temporarily Closed,Seasonal,Melchior Antarctic Base,-64.325556,-62.976111,14,14,Apertura 31 de marzo de 1947. Operaba anualmente hasta 1998. ,1947,4 construcciones,1 médico y 1 enfermero ,December,March,
Argentina,Orcadas,Base Orcadas,Station,Open,Year-Round,Orcadas,-60.737592,-44.737387,28,28,Primera base permanente establecida por un país en la Antártida.    MEDIOS DE TRANSPORTE:    - Thiokol con acoplado.     - Sexticiclo Polaris Rangers.    - Moto para nieve Polaris. (Wide Track)     ,1904,15 construcciones,Personal de sanidad permanente: 1 médico y 1 enfermero.     - Instalación asistencial con cuatro camas.     ,October,December,
Argentina,Petrel Antarctic Base,Base Antártica Petrel,Station,Temporarily Closed,Seasonal,Petrel Antarctic Base,-63.478056,-56.230833,24,24,Base Permanente. Apertura 22 de febrero de 1967.     Operó hasta 1996 anualmente  luego desactivada y volvió a operar anualmente a partir de 2022.        ,1967,Total de instalaciones: 9 construcciones,Personal de sanidad permanente:     1 médico y 1 enfermero.     - Instalación asistencial con una camilla. ,December,December,
Argentina,Primavera,Base Primavera,Station,Open,Seasonal,Primavera,-64.155854,-60.954256,18,18,Apertura 3 de marzo de 1977.     ,1977,Total de instalaciones: 6    Instalaciones para alojamiento: 1,1 médico y 1 enfermero,December,March,
Argentina,San Martín Antarctic Base,Base Antártica San Martín,Station,Open,Year-Round,San Martín Antarctic Base,-68.130278,-67.102778,30,21,MEDIOS DE TRANSPORTE:    - Camión Unimog 416 (Cantidad 1)    - Muskeg gasolero GM-3-53   (Cantidad 1)    - Moto Alpine Ski-Doo 640 (Cantidad 2)    - Motos Ski-Doo Safari Alpine (Cantidad 4)    - Moto Ski-Doo Gran Touring Match (Cantidad 1)    - Bote neumático M1-700Kgr (Cantidad 1)    ,1951,Total de instalaciones: 12    Instalaciones para alojamiento: 2    ,- Personal de sanidad permanente (1 médico y 1 enfermero)     - Instalación asistencial con 1 cama     - Equipo odontológico.     - Equipo rayos X.     ,October,December,
Argentina,Sobral,,Station,No Longer Exists,Year-Round,Sobral,-81.833055,-40.65,,,Base de Verano.    Inactiva desde el 28 de octubre de 1968. Desaparecida. ,1963,,,October,December,
Argentina,17 de agosto,,Refuge,Temporarily Closed,Seasonal,Refugio 17 de agosto,-68.129722,-67.223888,2,2,Fecha de creación: 17 de agosto de 1957.    Capacidad alojamiento: 4 personas  víveres para 15 días y tubo de gas.,1957,1 Construcción,Botiquín Primeros Auxilios,October,December,
Argentina,Ballvé,,Refuge,Temporarily Closed,Year-Round,Ardley; península,-62.216667,-58.883333,,,Fecha de creación: 6 de diciembre de 1953,1953,1 Construcción,,October,December,
Argentina,Cobbett,,Refuge,Temporarily Closed,Year-Round,Primavera,-64.155854,-60.954256,4,4,Fecha de creación: 23 de enero de 1954  inaugurado con el nombre de refugio navla Cabo Primavera  cedido al EA en la campaña anual de verano 1977/1978  actual laboratorio de la base primavera y posee suministros para tres hombres durante tres meses,1954,1 Edificio pequeño  posee dos habitaciones  un baño,Botiquín Primeros Auxilios,October,December,
Argentina,Conscripto Ortiz,,Refuge,Temporarily Closed,Year-Round,Brown Antarctic Base,-64.895278,-62.870278,12,12,Fecha de creación: 29 de enero de 1956  actual casa de la Base Brown  infraestructura de la base cuenta con 178 m² bajo techo  41 m² de laboratorios científicos  un área logística de 53 m²  12 camas. Cuenta con 2 Zodiac con motor fuera de borda.3​,1956,Total de instalaciones: 6    Instalaciones para alojamiento: 1,Botiquín Primeros Auxilios,October,December,
Argentina,Cormoran,Cormoran,Refuge,Temporarily Closed,Seasonal,Isla Laurie,-60.756944,-44,4,4,Fecha de creación en la CAV año 1985,1985,2 Construcción,Botiquín Primeros Auxilios.,October,December,
Argentina,Cristo Redentor,,Refuge,Temporarily Closed,Seasonal,Refugio Cristo Redentor,-63.553611,-57.378888,4,4,Fecha de creación: 25 de mayo de 1955.    Capacidad alojamiento: 4 personas  víveres para 15 días y tubo de gas. ,1965,1 Construcción,Botiquín Primeros Auxilios,October,December,
Argentina,Elefante,Elefante,Refuge,Open,Seasonal,Refugio Elefante,-62.254722,-58.632222,6,6,Fecha de creación: 10 de diciembre de 1983,1983,1 Construcción ,Botiquín Primeros Auxilios,October,April,
Argentina,Francisco de Gurruchaga,Francisco de Gurruchaga,Refuge,Temporarily Closed,Seasonal,Armonía; caleta,-62.316666,-59.15,2,2,Fecha de creación: 15 de diciembre de 1954,1954,2 Construcciones (Refugio y Galpón),Botiquín Primeros Auxilios.,October,December,
Argentina,Independencia Argentina,,Refuge,Temporarily Closed,Seasonal,Refugio Independencia Argentina,-63.46,-57.187222,6,6,Fecha de creación: 21 de octubre de 1967.    Capacidad alojamiento: 6 personas  víveres para 15 días y tubo de gas.,1967,1 Construcción,Botiquín Primeros Auxilios.,October,December,
Argentina,Islas Malvinas,Islas Malvinas,Refuge,Temporarily Closed,Seasonal,Refugio Islas Malvinas,-63.419444,-56.997222,4,4,Fecha de creación: 26 de agosto de 1971.     Capacidad alojamiento: 4 personas  víveres para 15 días y tubo de gas. ,1971,1 Construcción,Botiquín Primeros Auxilios,October,December,
Argentina,Martín Güemes,Martín Güemes,Refuge,Temporarily Closed,Seasonal,Refugio Martín Güemes,-63.474999,-57.065,4,4,Fecha de creación: 15 de septiembre de 1959    Capacidad alojamiento: 4 personas  víveres para 15 días y tubo de gas,1959,1 Construcción,Botiquín Primeros Auxilios    ,October,December,
Argentina,Ona,Ona,Refuge,Temporarily Closed,Seasonal,Refugio Ona,-68.100556,-67.025555,4,4,Fecha de creación: 22 de febrero de 1995.    Capacidad alojamiento: 4 personas  víveres para 15 días y tubo de gas. ,1995,1 Construcción,Botiquín Primeros Auxilios,October,December,
Argentina,Sarg Ayte Cisterna,Sarg Ayte Cisterna,Refuge,Temporarily Closed,Seasonal,Nunatak Little wood,-77.882222,-34.315278,2,2,Fecha de creación: 27 de enero de 1976.    Capacidad alojamiento: 2 personas  víveres para 15 días y tubo de gas.,1955,1 Construcción,Botiquín Primeros Auxilios,October,December,
Argentina,Suecia,Suecia,Refuge,Temporarily Closed,Seasonal,Cerro Nevado; isla,-64.466666,-57.2,,,El 8 de enero de 1954 se tomó posesión del refugio. En 1972 fue declarado Sitio y Monumento Histórico del Tratado Antártico  Nro 38.,1954,1 Construcción,,October,December,
Argentina,Dallmann,Dallmann Laboratory at Carlini,Laboratory,Open,Seasonal,Dallmann,-62.237609,-58.666716,16,16,Fecha de creación: 19 de enero de 1994. Capacidad de alojamiento: 16 personas  para ser utilizado,1994,1 Construcción,Botiquín Primeros Auxilios.,October,April,
Australia,Beaver Lake,,Station,Open,Seasonal,Beaver Lake,-70.792777,68.295277,10,,Beaver Lake: established January 1995.        Used to support Northern Prince Charles Mountains and Amery Ice Shelf operations.         The Prince Charles Mountains (PCMs) includes all the mountain areas around by the Lambert Glacier and the Amery ice Shelf  in Mac. Robertson Land. There are numerous mountain ranges and nunataks varying between 1000 m and 3000 m in height. Beaver Lake Base is on the western side of Beaver Lake by the northern shore of Pagadroma George and was established in 1995. The continental ice sheet is highest in the west and east and falls into the trough of the Lambert. The topography within the northern region is variable. The Aramis and Porthos Ranges consist of sharp peaks  with sheer rock faces and large wind scours. In the area of the Beaver Lake and Mawson Escarpment there are mainly rounded mountains with rubble surfaces.        ,,Accommodates 10 persons in total (4 Apple huts). Camping gear. Some field rations and 5 x 200L drums of petrol.,Comprehensive field medical kit only available during summer occupation.,November,February,
Australia,Cape Denison,,Station,Open,Seasonal,Cape Denison,-67,142.666667,8,,Historic Site  ASPA 162  ASMA 3 and refuge        Used intermittently to support field personnel carrying out repairs to the Mawson's huts over the summer period.        Cape Denison juts northward into Commonwealth Bay in George V Land.,1978,Granholm hut  erected by ANARE in 1978  stands on the west side of Boat Harbour. It is 3.2 x 2.2 m and contains benches  seats and a gas cooking stove and oven.     Sorensen hut  a 8.4 x 8 m living hut 1 km east of Boat Harbour  contains cooking facilities and sleeping accommodation for 8 people. The hut was extended in 2007/08 to provide laboratory and work space. An Apple hut alongside provides accommodation for three or more. Kerosene  petrol  gas and emergency rations may be available in limit,Comprehensive first aid kit during occupation.,November,January,
Australia,Casey,Casey Station,Station,Open,Year-Round,Casey,-66.282343,110.526792,88,,Casey is on the west coast of Law Dome  an almost circular ice cap 200 km in diameter rising to a height of 1395 m  110 km inland. The regularly traversed routes on Law Dome are mostly crevasse-free  the exceptions being the steep regions of the coast eat of Cape Folger  the Peterson Glacier  the inflow into the Vanderford Glacier  and the eastern coast of Sparkes Bay at the end of the Loken Moraine. In summer  melt streams and soft snow in the low areas between Loken Moraine and the coast often form hazards for vehicles. Beyond the moraine the surface is comparatively smooth and featureless  with patchy blue ice and snow for several kilometres  gradually changing to neve upon which small to medium sastrugi are encountered. At the southern (inland) edge of the Law Dome ice cape  the elevation drops to 600 m in a wide valley extending from the Totten Glacier to the Vanderford Glacier. South of this valley the plateau continues to rise gradually  reaching an altitude of some 3650 m as the Russian station Vostok is approached. It is a featureless plateau and navigational competence is essential. Although the average wind speed at Casey is 30 km/h  the weather can be deceptively calm. When the wind direction turns to the east  blizzards can set in with very little warning and rapidly reach wind speeds in excess of 150 km/h. These winds can last for several days. occur at any time of the year and can make travel hazardous. Keep a constant watch to the east  when the horizon becomes fuzzy you have less than 30 minutes to take shelter before a blow arrives. The direction of strong winds over the Law Dome area is usually easterly providing a constant sastrugi direction which is often an aid to navigation in bad weather. The inland plateau is characterised by frequent  persistent strong wind and drift  especially during winter months. Temperatures recorded in the station area range from +9.2°C (January) to -41°C (July). (construction commenced 1978),1969,Special antarctic blend fuel  aviation turbine fuel  synthetic low temperature engine and hydraulic oils  gear oils  glycol.,Doctor and surgery available.,---,---,
Australia,Casey Area emergency depots,,Station,Open,Year-Round,,0,0,,,To assist field parties in an emergency or to facilitate long-distance journeys  depots of fuel  food  and equipment have been placed at:     - the receive site hut (GR 648.05/477.75 of Casey Station Local Area Map)         - Shirley Island at (GR 648.5/477 of Casey Station Local Area Map).        Provision caches can also be found at:     - Thompson Is in the Balaena group  40km north of Casey. This cache has not been visited for some time. It is recommended that if and when it is ever visited again  that it should be removed.        - Ford Is in Penney Bay  14km south of Casey.    ,,,,---,---,
Australia,Davis,Davis Station,Station,Open,Year-Round,Davis,-68.575938,77.969516,91,,Davis is on the edge of the Vestfold Hills  a triangular ice-free area approximately 400 km2 located on the coast of Princess Elizabeth Land. The hills are of low relief (maximum height 158 m) and are broken by valleys and penetrated deeply by fjords and lakes. They are bounded on two sides by the ice plateau and the Sorsdal Glacier. Numerous islands fringe the coast around Davis  up to 5 km offshore. Davis mean temperatures range from +2.9°C in January to -20.4°C in August  with recorded extremes of +13°C and -40°C. Long periods of relatively calm  fine conditions occur throughout the year. Winds are generally light  the yearly average is around 20 km/h. Violent winds and blizzards can commence with little warning  and gusts over 200 km/h have been recorded. At Platcha hut and other areas near the continental ice sheet  gale force (katabatic) winds regularly occur  even in otherwise fine weather. The effect diminishes significantly as distances of 5 km or more inland on the ice sheet are reached. Snow fall averages 78 mm/year  with the greater proportion of annual accumulation resulting from wind blown drift. Apart from several permanent ice banks  the hills are virtually snow free in summer and lightly covered in winter.    ,1957,Fuel is special antarctic blend fuel  aviation turbine fuel  synthetic low temperature engine and hydraulic oils  gear oils  glycol.,Doctor and surgery available.,---,---,
Australia,Mawson,Mawson Station,Station,Open,Year-Round,Mawson,-67.602644,62.873028,41,,Mawson Station is located on an isolated outcrop of rock on the coast  at the edge of the Antarctic plateau in Mac.Robertson Land. The plateau surface in the coastal region is mostly blue ice occasionally covered by light snow in winter and spring. The snow is deepest in valleys or on steep leeward slopes  while the higher ridges are invariably swept clear. Heavy melting occurs during summer and melt-water collects in well-defined streams and lakes. Although not necessarily deep they are a hazard to travellers  especially those in fast-moving transport. Further inland from the coast the surface is mainly snow or white ice with occasional blue ice patches. The mean annual windspeed at Mawson is almost 40 km/h although gusts measure well above 180 km/h. Sixteen kilometres inland the wind is much stronger. The winds usually increase after sunset and fall off around midday. Winds are predominantly south-easterly moving towards the west with the onset of bad weather. Mawson experiences long periods of fine weather broken at intervals by periods of high wind and heavy drifting snow. Temperatures range from 10°C to -36°C.,1954,Accommodates 47 persons plus two hospital beds. Special antarctic blend fuel  aviation turbine fuel  synthetic low temperature engine and hydraulic oils  gear oils  glycol. Two 300Kw wind turbines which supply approximately 40 per cent of annual energy demand were installed in 2003.,Doctor and surgery available.,---,---,http://www.aad.gov.au/default.asp?casid=6909
Australia,Ace Lake Refuge,,Refuge,Open,Year-Round,Ace Lake,-68.471666,78.187777,,2,The hut is temporarily moved to the sea ice near the Plough Is skiway for up to 2 months in summer  then returned to Ace lake.        This refuge consists of 1 Apple type hut  and provides accommodation for 2 people. The hut is equipped with food  fuel and cooking facilities and has a list of instructions peculiar to the hut's fittings and contents. A radio is available at this location.        Ace Lake Hut is located near the north-western extremity of Long Fjord  0.5 hours by quad from Davis. Under normal conditions  no point in the Vestfold Hills is further than 3 hours travel by vehicle from a refuge or the station.        Established  Summer 2004/05 to support research projects at Ace Lake.,,,Comprehensive first aid kit.,---,---,
Australia,Bandits Refuge,,Refuge,Open,Year-Round,Bandits Bluff,-68.421666,78.384722,,4,Accommodates 4 people  is equipped with a radio  food  fuel and cooking facilities and has a list of instructions peculiar to the hut's fittings and contents.        Bandits Hut is located on a small island at the entrance of Tryne Fjord  3.5 hours by quad from Davis via Long Fjord and Tryne Fjord. It is located on the north-west side of Tryne Fjord. This hut is the furthest away from Davis (around 29 kilometres to the north-east) and can only be accessed via sea-ice or by helicopter. Under normal conditions  no point in the Vestfold Hills is further than 4 hours travel by vehicle from a refuge or the station.        Established in 1983. Used in summer to support seal research field personnel  and for recreation.,,,Comprehensive first aid kit,---,---,
Australia,Bechervaise Island Huts,,Refuge,Open,Year-Round,Bechervaise Island Huts,-67.583889,62.801111,,5,Used to support penguin research on Bechervaise Island. Accommodates 5 people (one Apple hut  2 Googie huts and a storage shed). Contains food  fuel  cooking  heating and laboratory facilities. It is fully fitted out with equipment for five researchers and also has a radio telephone and internet access. Each hut has a list of instructions peculiar to its fittings and contents.,,,Comprehensive first aid kit available.,---,---,
Australia,Brookes Refuge,,Refuge,Open,Year-Round,Brookes Refuge,-68.601667,78.184722,,4,Accommodates 4 people  is equipped with a radio  food  fuel and cooking facilities and has a list of instructions peculiar to the hut's fittings and contents.        Brookes Hut is located on the shore of Shirokaya Bay  a 3 hour walk from Davis. Under normal conditions  no point in the Vestfold Hills is further than 3 hours travel by vehicle from a refuge or the station.        Established 1972. Used in summer as a depot for seal and lake research  and for recreation.,,,Comprehensive first aid kit.,---,---,
Australia,Browning Peninsula Refuge,,Refuge,Open,Year-Round,Browning Peninsula,-66.469444,110.55,,4,It is a custom-built sled-mounted hut made from AANBUS panel and accommodates 4 people  equipped with a radio  food  fuel and cooking facilities and has a list of instructions peculiar to its fittings and contents. Shelter and a cache of food and fuel is at Ford Island enroute.        Used in summer to support field personnel  and for recreation.        The Browning Peninsula Refuge is 21 km due south of Casey station. The 69 km inland route for all vehicles is via Lanyon Junction to Haupt Nunatak  then west onto the peninsula. The final approaches from Haupt to the peninsula are prone to severe melting between December and March  beware of deep melt streams and lakes which may have a thin surface layer of ice. Vehicles may become bogged or stuck  deadmen  planks and winches must be carried. Browning Peninsula may be accessible across the sea ice from Robinson's Ridge during winter  and depends upon prior measurement of the ice thickness.    ,,,Comprehensive first aid kit,---,---,
Australia,Colbeck Hut,,Refuge,Open,Year-Round,Colbeck Archipelago,-67.414167,61.005,,4,Colbeck Hut is located 100 km west of Mawson and 5 km north-east of Taylor Glacier on an island in the Colbeck Archipelago.        Established in 1988.  It is used as shelter for visitors to the Taylor Glacier area  including to monitor the Taylor Glacier emperor penguin colony in ASPA 101.        It can only be accessed over fast ice or via rotary wing aircraft.  Accommodates four persons. It contains food and fuel for heating  lighting  and cooking (either kerosene or LPG).,,,Comprehensive first aid kit.,---,---,
Australia,Crooked Lake Refuge and Boulder Tent Depot,,Refuge,Open,Year-Round,Crooked Lake,-68.616944,78.381944,,2,A refuge is located on the Crooked Lake side of the cross over from Druzhby Lake and a tent depot is situated at the eastern extreme of Crooked Lake at the base of Boulder Hill. Crooked Lake is a 6 hour walk or 2 hour quad journey from Davis. Under normal conditions  no point in the Vestfold Hills is further than 3 hours travel by vehicle from a refuge or the station.        An Apple hut (accommodates 2) is located at the crossover. The hut is equipped with food  fuel and cooking facilities. No radio equipment present. A tent depot is located at the base of Boulder Hill. The tent depot accommodates 2 people  is equipped with food  fuel and cooking facilities.        Used in summer to support field personnel.,,,Comprehensive first aid kit.,---,---,
Australia,Fang Hut,,Refuge,Open,Year-Round,Fang Peak,-67.794722,62.584444,,4,Fank Peak shelter is situated at the eastern foot of Fang Peak at the northern end of the range  approximately 26 km south-west of Mawson.        It is used as shelter for visitors to the David Range. Although it has been used by geologists  its main usage is recreational visits and field training.        Established 1982 it accommodates four persons. It contains food and fuel for heating  lighting  and cooking (either kerosene or LPG).,,,Comprehensive first aid kit.,---,---,
Australia,Jack´s Donga,,Refuge,Open,Year-Round,Jack's Donga,-66.21861,110.650556,,4,The hut is a decommissioned 'Freighter' sled-mounted traverse van. It accommodates 4 people  equipped with a radio  food  fuel and cooking facilities and has a list of instructions peculiar to its fittings and contents.        Jack's Donga is on the northern end of the moraine line 9 km directly north-east from Casey station. The 15 km caned access route for any type of vehicle is along the eastern side of the Loken Moraine.        Established 1972. Used throughout the year to support field personnel  and for recreation.,,,Comprehensive first aid kit,---,---,
Australia,Law,Law Station,Refuge,Open,Seasonal,Law,-69.388296,76.380696,11,,The Larsemann Hills are an ice-free area 110 km southwest of Davis in Princess Elizabeth Land. The hills are bounded in the east by the Dalk Glacier and in the west by the Polararboken Glacier. Numerous lakes and fjords and peninsulas dominate the area. Due to its proximity to the plateau  the area is subject to katabatic winds early in the day but has reliably fine afternoon weather. Law Base is walking distance to the Chinese station of Zhongshan and the Russian station of Progress. The base is located within Antarctic Specially Managed Area (ASMA) 6  Larsemann Hills  which is jointly managed by Australia  China  India and the Russian Federation.,0,The base is located on the eastern peninsula and comprises one Apple hut  three Melon huts  a large prefabricated hut and a small metal shed. Accommodates 11 persons. HF and VHF radio antennas are permanently on the site. ,Comprehensive field medical kit available during summer occupation for emergency use.,November,February,
Australia,Ledingham Depot,,Refuge,Open,Year-Round,Ledingham Depot,-67.366666,59.4525,,3,Ledingham depot is situated in the Stillwell Hills.        Established in 1984 to support science programs.    1 Melon hut and variable fuel depending on programs in the area. Restocked in 2004. ATK,,,Comprehensive first aid kit available during occupation only.    ,---,---,
Australia,Macey Hut,,Refuge,Open,Year-Round,Macey Islands,-67.439166,63.819166,,4,Macey is located 47 km north-east of Mawson in the eastern part of the Robinson Group. It is accessible only when sea ice is present.        Accommodates four persons. It contains food and fuel for heating  lighting  and cooking (either kerosene or LPG).        Established in 1971. It is a shelter for visitors to the Auster emperor penguin colony  a further 6 to 9 km to the east  on fast ice.,,,Comprehensive first aid kit.,---,---,
Australia,Marine Plain Refuge,,Refuge,Open,Year-Round,Marine Plain Refuge,-68.6025,78.101389,,5,Accommodates 5 people  is equipped with food  fuel and cooking facilities and has a list of instructions peculiar to the hut's fittings and contents. No radio equipment present.        Used as an emergency refuge or specifically to support field persons working in the protected site  ASPA 143 (Marine Plain).        There are 2 Apples and 1 Melon just outside the boundary of the Marine Plain ASPA. From Davis it takes 1.5 hours on foot (4 hours if Ellis Fjord has melted)  or 30 minutes by small vehicle. Under normal conditions  no point in the Vestfold Hills is further than 3 hours travel by vehicle from a refuge or the station.    ,,,Comprehensive first aid kit.,---,---,
Australia,Mt Henderson Hut,,Refuge,Open,Year-Round,Henderson; Mount,-67.700833,63.056389,,4,Mount Henderson hut is located 15 km south of Mawson. It is situated on the western ridge  below the main peak.        Accommodates four persons. It contains food and fuel for heating  lighting  and cooking (either kerosene or LPG).        Established in 1978. It is a shelter for visitors to the Mount Henderson area and is presently used for recreational visits and field training. ,,,Comprehensive first aid kit.,---,---,
Australia,Peterson Island Emergency Shelter,,Refuge,Open,Year-Round,Peterson Island,-66.466666,110.5,,4,Used as emergency shelter only.        A 'Melon' hut offering spartan accommodation for four  equipped with food  fuel and cooking facilities and has a list of instructions peculiar to its fittings and contents.        Petersen Island Emergency Shelter is located on the northern end of Petersen Island  21 km south of Casey station  Wilkes Land.,,,Comprehensive first aid kit,---,---,
Australia,Platcha Refuge,,Refuge,Open,Year-Round,Platcha,-68.511667,78.512222,,4,This refuge consists of 2 huts. The main hut provides accommodation for 4 people. The hut is equipped with food  fuel and cooking facilities and has a list of instructions peculiar to the hut's fittings and contents. A radio is available at this location.        Platcha Hut is located near the eastern extremity of Long Fjord  12 hours by foot or 1.0-1.5 hours by quad from Davis. At Platcha hut and other areas near the continental ice sheet  gale force (katabatic) winds regularly occur  even in otherwise fine weather. Under normal conditions  no point in the Vestfold Hills is further than 3 hours travel by vehicle from a refuge or the station.        First hut established in April-May 1961.    Second hut established in 1982.    It is used for access to the plateau. Also used as a base for field training  and for recreation.,,,Comprehensive first aid kit.,---,---,
Australia,Rauer Islands Filla Refuge,,Refuge,Open,Year-Round,Filla Island,-68.808056,77.856389,,2,Rauer Islands Filla Refuge is located on Filla Island.  Accommodation for 2 people.    Established 1999 to support field personnel in summer,,,Comprehensive first aid kit available during summer occupation.,---,---,
Australia,Rauer Islands Hop Refuge,,Refuge,Open,Year-Round,Hop Island,-68.82861,77.702222,,5,Rauer Islands Hop Refuge is located on Hop Island.        Accommodates up to 5 people. This site consists of a Smartie (3 people) and one Apple hut (2 people). The huts are equipped with food  fuel and cooking facilities. ATK        Established 1990. Used in summer to support field personnel.,,,Comprehensive first aid kit available during summer occupation.,---,---,
