站点名称,更新周数,更新时间,起始时间,结束时间,温度(℃),湿度(%),气压(mb),风向,风速(m/s),周温差(℃),周最低温(℃),周报URL
昆仑站,2025年第11周,2025-03-15 15:36:00,2025-03-08,2025-03-14,-54.9,52.0,574.0,南,3.0,31.8,-65.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138508
中山站,2025年第10周,2025-03-08 16:41:00,2025-03-01,2025-03-07,-4.0,62.0,984.1,东北,5.7,7.9,-11.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138487
长城站,2025年第10周,2025-03-08 16:40:00,2025-03-01,2025-03-07,0.0,80.0,990.2,西南,2.8,5.5,-1.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138487
泰山站,2025年第10周,2025-03-08 15:33:00,2025-03-01,2025-03-07,-27.0,78.0,701.0,东北,11.3,16.2,-42.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138487
昆仑站,2025年第10周,2025-03-08 15:26:00,2025-03-01,2025-03-07,-47.4,59.0,574.0,北,3.0,19.1,-60.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138487
中山站,2025年第09周,2025-03-01 18:01:00,2025-02-22,2025-02-28,-3.1,46.0,988.9,东南,1.4,10.2,-10.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138471
长城站,2025年第09周,2025-03-01 17:35:00,2025-02-22,2025-02-28,-0.2,73.0,995.4,西南,8.8,9.1,-5.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138471
泰山站,2025年第09周,2025-03-01 15:18:00,2025-02-22,2025-02-28,-27.3,72.0,703.0,东,9.5,14.1,-35.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138471
昆仑站,2025年第09周,2025-03-01 15:14:00,2025-02-22,2025-02-28,-47.7,57.0,572.0,北,5.0,15.4,-60.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138471
中山站,2025年第08周,2025-02-22 17:46:00,2025-02-15,2025-02-21,-7.2,76.0,982.4,西南,4.9,11.5,-11.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138427
长城站,2025年第08周,2025-02-22 17:35:00,2025-02-15,2025-02-21,3.0,96.0,977.0,北,7.0,7.7,-3.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138427
泰山站,2025年第08周,2025-02-22 15:41:00,2025-02-15,2025-02-21,-27.4,76.0,697.0,东北,12.4,11.2,-37.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138427
昆仑站,2025年第08周,2025-02-22 15:37:00,2025-02-15,2025-02-21,-47.4,55.0,577.0,南,3.8,18.3,-58.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138427
长城站,2025年第07周,2025-02-15 16:50:00,2025-02-08,2025-02-14,-0.2,96.0,982.9,东,12.9,6.6,-2.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138349
中山站,2025年第07周,2025-02-15 16:41:00,2025-02-08,2025-02-14,-4.4,46.0,990.2,东,4.7,8.7,-6.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138349
昆仑站,2025年第07周,2025-02-15 16:00:00,2025-02-08,2025-02-14,-41.5,59.0,572.0,西北,1.3,25.0,-52.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138349
泰山站,2025年第07周,2025-02-15 15:59:00,2025-02-08,2025-02-14,-30.1,65.0,703.0,东,7.4,16.2,-37.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138349
中山站,2025年第06周,2025-02-08 17:52:00,2025-02-01,2025-02-07,2.4,67.0,979.6,东,8.9,10.9,-4.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138347
长城站,2025年第06周,2025-02-08 17:50:00,2025-02-01,2025-02-07,1.6,94.0,990.5,西,5.9,6.8,-0.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138347
昆仑站,2025年第06周,2025-02-08 15:24:00,2025-02-01,2025-02-07,-36.7,62.0,578.0,东北,1.5,23.1,-50.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138347
泰山站,2025年第06周,2025-02-08 15:21:00,2025-02-01,2025-02-07,-22.1,79.0,704.0,东,11.3,15.2,-34.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138347
中山站,2025年第05周,2025-02-01 16:37:00,2025-01-25,2025-01-31,2.1,54.0,993.6,东,4.0,10.4,-2.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138329
长城站,2025年第05周,2025-02-01 16:30:00,2025-01-25,2025-01-31,1.3,96.0,987.4,西,5.7,4.8,-0.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138329
泰山站,2025年第05周,2025-02-01 15:59:00,2025-01-25,2025-01-31,-22.8,73.0,711.0,东北,7.2,15.1,-31.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138329
昆仑站,2025年第05周,2025-02-01 15:57:00,2025-01-25,2025-01-31,-31.3,65.0,586.0,东南,3.5,20.2,-42.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138329
长城站,2025年第04周,2025-01-25 18:00:00,2025-01-18,2025-01-24,1.5,99.0,987.0,东南,4.0,7.0,-1.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138327
中山站,2025年第04周,2025-01-25 17:36:00,2025-01-18,2025-01-24,2.1,40.0,986.7,东,2.6,11.4,-2.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138327
泰山站,2025年第04周,2025-01-25 15:45:00,2025-01-18,2025-01-24,-19.6,65.0,708.0,东,9.7,14.9,-25.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138327
昆仑站,2025年第04周,2025-01-25 15:44:00,2025-01-18,2025-01-24,-28.0,76.4,585.0,南,5.4,17.8,-35.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138327
长城站,2025年第03周,2025-01-18 16:55:00,2025-01-11,2025-01-17,0.9,96.0,973.1,西,6.1,6.0,-0.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138306
中山站,2025年第03周,2025-01-18 16:35:00,2025-01-11,2025-01-17,2.8,85.0,990.5,东,3.0,10.6,-1.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138306
泰山站,2025年第03周,2025-01-18 15:53:00,2025-01-11,2025-01-17,-12.0,86.0,712.0,东北,9.7,11.8,-23.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138306
昆仑站,2025年第03周,2025-01-18 15:50:00,2025-01-11,2025-01-17,-24.7,71.0,593.0,东南,5.9,14.8,-39.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138306
长城站,2025年第03周,2025-01-18 16:55:00,2025-01-11,2025-01-17,0.9,96.0,973.1,西,6.1,6.0,-0.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138306
中山站,2025年第03周,2025-01-18 16:35:00,2025-01-11,2025-01-17,2.8,85.0,990.5,东,3.0,10.6,-1.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138306
泰山站,2025年第03周,2025-01-18 15:53:00,2025-01-11,2025-01-17,-12.0,86.0,712.0,东北,9.7,11.8,-23.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138306
昆仑站,2025年第03周,2025-01-18 15:50:00,2025-01-11,2025-01-17,-24.7,71.0,593.0,东南,5.9,14.8,-39.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138306
中山站,2025年第02周,2025-01-11 16:55:00,2025-01-04,2025-01-10,2.5,50.0,987.0,东北,2.5,10.8,-2.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138286
长城站,2025年第02周,2025-01-11 16:55:00,2025-01-04,2025-01-10,2.9,98.0,997.6,西北,8.8,5.2,0.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138286
昆仑站,2025年第02周,2025-01-11 16:14:00,2025-01-04,2025-01-10,-31.4,66.0,582.0,西南,4.9,11.1,-42.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138286
泰山站,2025年第02周,2025-01-11 16:09:00,2025-01-04,2025-01-10,-18.3,70.0,712.0,东,7.0,10.8,-26.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138286
长城站,2025年第01周,2025-01-04 17:55:00,2024-12-28,2025-01-03,1.8,90.0,991.8,西,7.0,5.4,-0.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138253
中山站,2025年第01周,2025-01-04 17:45:00,2024-12-28,2025-01-03,8.2,,983.5,东北,0.8,12.3,-4.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138253
泰山站,2025年第01周,2025-01-04 15:33:00,2024-12-28,2025-01-03,-16.3,58.0,710.0,东北,5.5,13.7,-28.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138253
昆仑站,2025年第01周,2025-01-04 15:26:00,2024-12-28,2025-01-03,-34.7,65.0,579.0,西,4.7,11.9,-37.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138253
中山站,2024年第52周,2024-12-28 17:45:00,2024-12-21,2024-12-27,3.8,56.0,985.9,东北,2.4,7.8,-0.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138231
泰山站,2024年第52周,2024-12-28 15:02:00,2024-12-21,2024-12-27,-15.8,67.0,708.0,东,6.6,12.1,-24.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138231
昆仑站,2024年第52周,2024-12-28 14:58:00,2024-12-21,2024-12-27,-28.2,68.0,583.0,西南,2.6,15.7,-38.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138231
长城站,2024年第52周,2024-12-26 21:50:00,2024-12-19,2024-12-25,2.6,87.0,988.9,西,9.4,3.8,0.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138231
泰山站,2024年第51周,2024-12-21 15:32:00,2024-12-14,2024-12-20,-19.7,78.0,713.0,东,14.3,12.6,-30.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138227
昆仑站,2024年第51周,2024-12-21 15:29:00,2024-12-14,2024-12-20,-31.2,66.0,590.0,东北,4.4,14.0,-41.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138227
中山站,2024年第51周,2024-12-20 19:59:00,2024-12-13,2024-12-19,1.9,51.0,995.9,西南,4.7,7.0,-4.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138227
长城站,2024年第51周,2024-12-19 15:20:00,2024-12-12,2024-12-18,-0.9,99.0,979.1,东,12.9,7.0,-1.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138227
中山站,2024年第50周,2024-12-14 17:45:00,2024-12-07,2024-12-13,1.7,54.0,996.8,西,3.6,12.1,-4.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138207
长城站,2024年第50周,2024-12-14 17:45:00,2024-12-07,2024-12-13,1.5,98.0,989.6,西北,6.4,7.1,-2.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138207
泰山站,2024年第50周,2024-12-14 16:08:00,2024-12-07,2024-12-13,-19.0,77.0,710.0,北,6.0,17.5,-31.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138207
昆仑站,2024年第50周,2024-12-14 16:06:00,2024-12-07,2024-12-13,-31.4,64.0,584.0,东南,2.2,25.8,-44.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138207
中山站,2024年第49周,2024-12-07 17:50:00,2024-11-30,2024-12-06,5.3,59.0,994.7,东,4.5,13.1,-5.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138187
长城站,2024年第49周,2024-12-07 17:40:00,2024-11-30,2024-12-06,0.1,86.0,1003.2,西南,0.0,7.3,-4.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138187
泰山站,2024年第49周,2024-12-07 15:54:00,2024-11-30,2024-12-06,-14.1,89.0,717.0,东北,8.9,21.5,-33.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138187
昆仑站,2024年第49周,2024-12-07 15:50:00,2024-11-30,2024-12-06,-24.5,68.0,592.0,东北,2.1,21.0,-43.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138187
中山站,2024年第48周,2024-11-30 17:49:00,2024-11-23,2024-11-29,-1.4,79.0,1004.3,东,2.6,10.5,-6.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138147
长城站,2024年第48周,2024-11-30 17:35:00,2024-11-23,2024-11-29,-0.5,97.0,977.2,西南,7.3,4.6,-2.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138147
泰山站,2024年第48周,2024-11-30 16:14:00,2024-11-23,2024-11-29,-21.6,77.0,713.0,北,7.8,10.1,-31.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138147
昆仑站,2024年第48周,2024-11-30 16:13:00,2024-11-23,2024-11-29,-35.7,63.0,581.0,西北,3.6,13.7,-46.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138147
长城站,2024年第47周,2024-11-23 17:45:00,2024-11-16,2024-11-22,1.1,97.0,987.3,西,0.0,7.9,-2.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138108
中山站,2024年第47周,2024-11-23 17:44:00,2024-11-16,2024-11-22,-2.3,76.0,983.9,东北,6.2,9.3,-7.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138108
昆仑站,2024年第47周,2024-11-23 15:57:00,2024-11-16,2024-11-22,-34.9,64.0,578.0,北,5.3,37.6,-49.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138108
泰山站,2024年第47周,2024-11-23 15:56:00,2024-11-16,2024-11-22,-22.1,77.0,703.0,东北,12.7,18.5,-38.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138108
长城站,2024年第46周,2024-11-16 16:45:00,2024-11-09,2024-11-15,0.7,97.0,963.8,西南,0.0,8.5,-2.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138086
泰山站,2024年第46周,2024-11-16 15:45:00,2024-11-09,2024-11-15,-23.5,73.0,699.0,东北,5.6,16.0,-39.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138086
昆仑站,2024年第46周,2024-11-16 15:41:00,2024-11-09,2024-11-15,-41.9,62.0,566.0,西,0.0,41.8,-53.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138086
中山站,2024年第46周,2024-11-13 17:51:00,2024-11-06,2024-11-12,-4.7,53.0,987.4,西北,2.8,9.9,-11.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138086
中山站,2024年第45周,2024-11-09 17:50:00,2024-11-02,2024-11-08,-3.7,31.0,975.9,西南,1.4,21.3,-22.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138066
长城站,2024年第45周,2024-11-09 17:50:00,2024-11-02,2024-11-08,-0.5,93.0,995.9,西,9.9,8.0,-5.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138066
泰山站,2024年第45周,2024-11-09 16:20:00,2024-11-02,2024-11-08,-29.9,68.0,694.0,东,10.8,17.1,-40.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138066
昆仑站,2024年第45周,2024-11-09 16:19:00,2024-11-02,2024-11-08,-21.7,83.0,570.0,南,0.0,36.5,-55.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138066
中山站,2024年第44周,2024-11-02 17:51:00,2024-10-26,2024-11-01,-2.2,88.0,987.8,东北,3.4,11.0,-13.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138050
长城站,2024年第44周,2024-11-02 17:40:00,2024-10-26,2024-11-01,-0.1,99.0,971.3,西,1.6,7.5,-5.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138050
泰山站,2024年第44周,2024-11-02 15:26:00,2024-10-26,2024-11-01,-24.4,76.0,706.0,东北,11.0,17.0,-41.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138050
昆仑站,2024年第44周,2024-11-02 15:22:00,2024-10-26,2024-11-01,-40.6,63.0,579.0,东北,3.6,27.7,-57.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138050
中山站,2024年第43周,2024-10-26 17:56:00,2024-10-19,2024-10-25,-7.3,44.0,997.2,西南,5.6,12.0,-14.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138027
长城站,2024年第43周,2024-10-26 17:35:00,2024-10-19,2024-10-25,-4.9,85.0,980.1,东北,5.0,10.5,-8.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138027
昆仑站,2024年第43周,2024-10-26 15:21:00,2024-10-19,2024-10-25,-44.8,57.0,587.0,南,3.1,20.2,-63.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138027
泰山站,2024年第43周,2024-10-26 15:20:00,2024-10-19,2024-10-25,-31.0,64.0,714.0,东,11.6,15.9,-44.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138027
中山站,2024年第42周,2024-10-19 17:50:00,2024-10-12,2024-10-18,-3.8,31.0,983.3,东南,0.9,21.4,-22.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138008
长城站,2024年第42周,2024-10-19 17:35:00,2024-10-12,2024-10-18,-0.5,99.0,985.3,西北,12.2,4.8,-5.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138008
昆仑站,2024年第42周,2024-10-19 15:37:00,2024-10-12,2024-10-18,-50.8,55.0,575.0,南,3.1,18.7,-61.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138008
泰山站,2024年第42周,2024-10-19 15:35:00,2024-10-12,2024-10-18,-33.7,59.0,702.0,东,9.9,23.7,-49.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138008
中山站,2024年第42周,2024-10-19 17:50:00,2024-10-12,2024-10-18,-3.8,31.0,983.3,东南,0.9,21.4,-22.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138008
长城站,2024年第42周,2024-10-19 17:35:00,2024-10-12,2024-10-18,-0.5,99.0,985.3,西北,12.2,4.8,-5.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138008
昆仑站,2024年第42周,2024-10-19 15:37:00,2024-10-12,2024-10-18,-50.8,55.0,575.0,南,3.1,18.7,-61.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138008
泰山站,2024年第42周,2024-10-19 15:35:00,2024-10-12,2024-10-18,-33.7,59.0,702.0,东,9.9,23.7,-49.7,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138008
中山站,2024年第41周,2024-10-12 17:55:00,2024-10-05,2024-10-11,-16.2,70.0,999.4,西北,1.3,15.3,-21.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137947
长城站,2024年第41周,2024-10-12 17:35:00,2024-10-05,2024-10-11,-1.9,95.0,978.2,西南,5.5,12.2,-11.2,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137947
昆仑站,2024年第41周,2024-10-12 16:05:00,2024-10-05,2024-10-11,-45.5,59.0,573.0,东北,2.8,22.3,-67.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137947
泰山站,2024年第41周,2024-10-12 16:02:00,2024-10-05,2024-10-11,-36.8,67.0,737.0,东北,7.9,14.6,-47.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137947
长城站,2024年第40周,2024-10-05 18:00:00,2024-09-28,2024-10-04,-4.3,88.0,984.4,西北,8.1,10.2,-11.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137908
中山站,2024年第40周,2024-10-05 17:55:00,2024-09-28,2024-10-04,-10.4,38.0,990.7,西,0.8,16.3,-26.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137908
泰山站,2024年第40周,2024-10-05 16:20:00,2024-09-28,2024-10-04,-41.6,63.0,704.0,东,9.2,16.6,-51.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137908
昆仑站,2024年第40周,2024-10-05 16:20:00,2024-09-28,2024-10-04,-54.9,52.0,568.0,南,0.0,27.7,-70.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137908
长城站,2024年第39周,2024-09-28 17:55:00,2024-09-21,2024-09-27,-9.9,93.0,978.2,东南,0.9,9.7,-10.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137887
中山站,2024年第39周,2024-09-28 17:51:00,2024-09-21,2024-09-27,-9.5,47.0,988.6,东,2.2,18.8,-24.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137887
泰山站,2024年第39周,2024-09-28 15:51:00,2024-09-21,2024-09-27,-35.6,69.0,700.0,东北,8.9,21.5,-48.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137887
昆仑站,2024年第39周,2024-09-28 15:47:00,2024-09-21,2024-09-27,-58.8,49.0,568.0,北,0.0,26.5,-70.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137887
中山站,2024年第38周,2024-09-21 17:55:00,2024-09-14,2024-09-20,-20.3,46.0,979.7,东南,2.2,16.1,-26.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137867
长城站,2024年第38周,2024-09-21 17:55:00,2024-09-14,2024-09-20,-6.9,77.0,980.8,北,5.7,9.3,-9.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137867
昆仑站,2024年第38周,2024-09-21 15:41:00,2024-09-14,2024-09-20,-62.9,44.0,563.0,东,0.0,28.3,-74.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137867
泰山站,2024年第38周,2024-09-21 15:41:00,2024-09-14,2024-09-20,-47.4,62.0,689.0,东,13.8,14.8,-53.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137867
长城站,2024年第37周,2024-09-14 18:00:00,2024-09-07,2024-09-13,-5.9,87.0,979.1,西南,12.4,9.9,-9.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137846
中山站,2024年第37周,2024-09-14 17:51:00,2024-09-07,2024-09-13,-16.6,63.0,975.3,东,2.8,7.7,-19.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137846
泰山站,2024年第37周,2024-09-14 15:48:00,2024-09-07,2024-09-13,-47.2,60.0,685.0,东,9.4,16.6,-55.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137846
昆仑站,2024年第37周,2024-09-14 15:45:00,2024-09-07,2024-09-13,-65.9,43.0,553.0,北,0.0,19.7,-73.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137846
长城站,2024年第36周,2024-09-07 18:00:00,2024-08-31,2024-09-06,-1.7,99.0,970.7,西北,3.4,3.7,-3.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137786
中山站,2024年第36周,2024-09-07 17:56:00,2024-08-31,2024-09-06,-12.7,69.0,982.2,东,4.9,10.1,-19.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137786
泰山站,2024年第36周,2024-09-07 16:09:00,2024-08-31,2024-09-06,-47.4,62.0,694.0,东,6.5,15.1,-52.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137786
昆仑站,2024年第36周,2024-09-07 15:27:00,2024-08-31,2024-09-06,-66.9,43.0,563.0,东南,0.0,27.0,-71.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137786
长城站,2024年第35周,2024-08-31 17:50:00,2024-08-24,2024-08-30,-1.1,100.0,986.9,西南,2.1,3.7,-3.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137769
泰山站,2024年第35周,2024-08-31 15:35:00,2024-08-24,2024-08-30,-35.5,59.0,709.0,东北,10.0,17.0,-49.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137769
昆仑站,2024年第35周,2024-08-31 15:32:00,2024-08-24,2024-08-30,-63.3,49.0,576.0,东南,0.0,25.5,-70.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=137769
